id;claim_no;claim_type;claim_amount;claim_date
1;94290;conglomeration;51879;2019-05-22T19:48:22
2;70301;robust Engineer;96244;2019-05-23T03:16:32
3;25178;Buckinghamshire capability zero tolerance;3688;2019-05-23T02:47:52
4;60956;Berkshire Small Plastic Pants Investor;23956;2019-05-22T16:51:50
5;14489;Berkshire Designer;24205;2019-05-22T18:58:33
6;67213;navigate;23763;2019-05-23T03:23:20
7;72821;web-enabled invoice withdrawal;53577;2019-05-22T13:36:23
8;9028;hacking installation magenta;4077;2019-05-22T12:36:01
9;59089;Algerian Dinar;1658;2019-05-22T16:07:59
10;51209;Future-proofed deposit Sausages;69093;2019-05-22T23:39:32
