id;plan_type;plant_name;premium_value;from_date;to_date
1;deliverables reinvent 24 hour;overriding;70685;2019-05-22T16:07:43;2019-05-22T15:42:16
2;quantify Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;37081;2019-05-23T01:44:13;2019-05-22T17:08:55
3;payment;withdrawal COM;47221;2019-05-23T00:00:37;2019-05-23T06:19:49
4;bus synthesize Idaho;Networked Sleek Metal Table Small;43933;2019-05-23T06:36:40;2019-05-23T04:21:33
5;Dynamic;knowledge base Buckinghamshire;90756;2019-05-23T05:51:24;2019-05-23T03:13:03
6;relationships override;Brand;59886;2019-05-23T02:14:48;2019-05-22T16:31:33
7;JSON;virtual deposit;87146;2019-05-22T22:14:38;2019-05-22T13:54:45
8;maroon;EXE projection Fresh;35629;2019-05-23T01:34:07;2019-05-22T11:26:13
9;contextually-based;synergies copying;86073;2019-05-23T01:53:09;2019-05-23T09:02:01
10;Borders;Bedfordshire Bahamian Dollar;26941;2019-05-23T01:05:52;2019-05-23T03:20:30
